station_id,clay_pct_first,sand_pct_first,organic_carbon_pct_first,saturation_first,latitude_first,longitude_first,elevation_m_first,precipitation_mm_mean,et0_mm_mean,temperature_mean_c_mean,residual_mean,residual_std,soil_moisture_mean,soil_moisture_std,physics_prior_mean,physics_prior_std,cluster
Kibanda_Hydromet,21.0,52.0,0.67,0.41,-0.85967,31.36607,1195.0,2.326844583987441,4.006530612244898,21.327158555729984,0.08436696683338911,0.054993942894846916,0.2901491490639893,0.05524461601672034,0.2057821822306001,0.02765212157823598,1
Kibisi_Secondary_School,47.0,37.0,1.19,0.47,0.69769,34.86532,1661.0,3.5574652777777778,4.2428125,19.468576388888888,-0.11505684275803975,0.07329738341525074,0.23402672657203905,0.07070907744651649,0.3490835693300788,0.04513193699993933,2
Kisasi_Primary_School_-_KCCA,31.0,45.0,0.95,0.44,0.37639,32.59785,1218.0,3.979591836734694,3.668084772370487,21.120094191522764,0.0145424168156778,0.03478672499415791,0.31815295727220416,0.021747799820146487,0.30361054045652636,0.041116355592494214,2
Kitabi_College,40.0,46.0,3.91,0.49,-2.52766,29.41665,2386.0,5.367622571692877,3.1095652173913044,14.352358926919518,-0.2558114503581586,0.02689498728167617,0.02781048313315618,0.005183377071682426,0.2836219334913148,0.02827189876380055,3
"Kpandai_SHS,_Kpandai",10.0,79.0,0.53,0.41,8.47606,-0.02853,215.0,3.599709724238026,4.261204644412191,27.548040638606675,0.10911660451452931,0.05847209935240713,0.16480481000405114,0.08555234849278949,0.05568820548952175,0.050556232989736674,1
Kyambogo_Primary_School_-_KCCA,31.0,45.0,0.95,0.44,0.3551,32.62917,1241.0,4.149182242990654,3.6215654205607475,21.14392523364486,-0.0699664685145702,0.06294623944504266,0.21460572574795003,0.06414366655256647,0.28457219426252023,0.03638915311664517,2
Likoni_School_for_the_Blind,60.0,30.0,1.41,0.5,-4.07898,39.65688,14.0,4.790660377358491,4.108084905660377,26.365660377358488,-0.27930546173507564,0.07466432233909467,0.09469550394145997,0.03546925512790282,0.3740009656765356,0.07595697560863751,3
Longisa_High_School,31.0,34.0,0.51,0.44,-0.85472,35.39565,2020.0,4.079118028534371,3.935201037613489,16.795201037613488,-0.08868852275506064,0.04787935339797824,0.2205330050610729,0.047223263222798684,0.30922152781613355,0.0378256981904406,2
Magomano_Secondary_School,26.0,24.0,1.81,0.5,-0.6068,36.5811,2488.0,4.189626556016598,3.6532641770401106,13.81728907330567,0.075639500975932,0.0713942802908788,0.37842816759208486,0.04203333863783123,0.3027886666161527,0.08710856233803707,1
Mahali_Mzuri,54.0,21.0,1.07,0.51,-1.27345,35.22345,1706.0,3.060832313341493,4.601150550795594,20.415177478580173,-0.09769818028189532,0.08827563937424672,0.19120988902888797,0.06878435310186655,0.2889080693107833,0.1007128879917955,2
Mara_Triangle_Airstrip,19.0,56.0,0.65,0.41,-1.40424,35.00869,1608.0,2.465052950075643,4.538320726172466,20.61180030257186,0.20431703616633962,0.08320795192133723,0.33202365041776416,0.053893485845119236,0.12770661425142446,0.0686905910705268,1
Mararianda_Primary,54.0,21.0,1.07,0.51,-1.20328,35.06718,1660.0,2.720074812967581,4.3254239401496255,19.7072319201995,-0.05297557941130238,0.08506398283028174,0.3326257277852179,0.08819805683384684,0.3856013071965202,0.0167084587400204,2
Maseno_University,47.0,24.0,1.38,0.5,-0.00271,34.59691,1532.0,4.875753920386007,4.084016887816647,19.958142340168877,0.01382250517765616,0.07165612275088967,0.37663831517223334,0.0331132421445233,0.3628158099945772,0.08249629592522795,2
Mateete_Subcounty_Sembabule_-_CHAI,31.0,45.0,0.95,0.44,-0.2434,31.48119,1254.0,2.361904761904762,4.041778711484594,21.61498599439776,0.04499036850335609,0.048919363886500644,0.27740797786505905,0.04409924663241939,0.2324176093617029,0.032091742722629386,1
Mengo_Senior_School,31.0,45.0,0.95,0.44,0.31969,32.56168,1247.2,5.014352392065344,3.6064177362893814,21.039439906651108,-0.03512424422524635,0.03525144806749305,0.28088103156932487,0.024906801942292753,0.31600527579457116,0.03399828663671584,2
Moi_Forces_Academy,23.0,60.0,1.84,0.45,-0.28712,36.16998,1936.0,4.114497041420118,4.014068047337278,18.27603550295858,-0.022537231113970272,0.05442662323713915,0.18782121333457363,0.05240375697052834,0.2103584444485439,0.038140773543844465,2
NDMA-Tana_River_Hola,60.0,24.0,0.63,0.52,-1.4947,40.02984,68.0,1.5725587144622992,5.413077873918418,27.985784919653895,-0.05542856729563866,0.05246553141509702,0.1693503886150046,0.06822178493746461,0.22477895591064329,0.07191375653033669,0
Naboisho_Camp,19.0,56.0,0.65,0.41,-1.40119,35.30749,1722.0,3.225882352941176,5.088882352941177,20.908823529411766,0.1440025999923361,0.09845078373829289,0.2790943913845909,0.07973456704522107,0.13509179139225475,0.06365453204572133,1
Nakivubo_Blue_Primary_School,31.0,45.0,0.95,0.44,0.30805,32.57536,1163.0,4.869093231162196,3.606922094508301,21.068454661558107,-0.032695132647884706,0.034268247335831774,0.27404031138974433,0.027165576497165316,0.3067354440376291,0.0352815241652772,2
Nalohou-Mid,22.0,49.0,1.01,0.43,9.7453,1.6053,441.0,2.146031746031746,5.438070818070818,26.866666666666667,-0.04139787850172988,0.04582132045611544,0.11646739615518877,0.06761836985484283,0.15786527465691866,0.06537031471070434,0
Nalohou-Top,22.0,49.0,1.01,0.43,9.74407,1.6058,445.0,3.0127312295973883,4.866670293797607,26.432208922742113,-0.05372898664843641,0.08860725569499613,0.1374815715980409,0.08814413990651528,0.19121055824647729,0.06861624485088384,2
"Notre_Dame_Seminary,_SHS,_Navrongo",10.0,79.0,0.53,0.41,10.88337,-1.07111,187.0,2.0299180327868855,5.55535519125683,28.80122950819672,0.10835846306191743,0.07150897594459417,0.14806767471972884,0.09960243126806387,0.03970921165781132,0.04622798711973919,0
Ole_Tipis_Girls_Secondary_School,16.0,16.0,3.67,0.62,-1.09468,35.89234,1922.0,3.3185990338164255,4.043019323671498,17.629106280193238,-0.09195602960363221,0.05705680750957688,0.24685763703757557,0.06778878098569797,0.3388136666412078,0.05755728082970059,2
Rakai_District_HQ,28.0,43.0,0.39,0.42,-0.70757,31.40214,1266.8,2.3481259370314844,3.863523238380809,21.062368815592205,0.04212211361165469,0.05407592955260521,0.29073050538937634,0.053322898207557215,0.2486083917777216,0.03638616856491863,1
Sembabule_District_HQ_-_CHAI,31.0,45.0,0.95,0.44,-0.08901,31.45802,1200.0,2.36,4.116320610687023,21.60885496183206,-0.006588924767095047,0.05666431816762965,0.23658761659108435,0.0473201413704111,0.24317654135817934,0.014650270776387184,2
Semuto_-_CHAI,,,,,0.6212,32.36956,1170.0,3.8249266862170086,3.6530791788856307,20.94457478005865,-0.01659483215341414,0.06477931657437759,0.22795003356641247,0.0574046764644866,0.2445448657198266,0.02797045125690046,2
Senchura_Secondary_School,26.0,38.0,3.71,0.55,-1.01291,35.89911,2131.0,3.6306763285024153,3.8031763285024156,16.002173913043478,0.0075282067225209345,0.06008738407103137,0.21254290580771432,0.06957384869912064,0.20501469908519332,0.07709115582080914,2
"St._Peters_RC_JHS,_St._Johns_RC_JHS,_Tuna",24.0,56.0,0.74,0.41,9.49418,-2.43478,319.0,2.336484687083888,5.24219707057257,27.650732356857525,-0.05448317853334084,0.030947017430182595,0.08437622535402159,0.03226997809559022,0.13885940388736243,0.05065663126537294,0
Tondikiboro,5.0,90.0,0.35,0.42,13.548,2.6956,235.0,0.7589378687955571,6.863682749045471,28.822492190211733,0.0028169617827333133,0.0159669452047562,0.03518836987310943,0.010366454170144455,0.03237140809037606,0.014534223918104768,0
University_of_Embu,70.0,24.0,1.5,0.52,-0.51665,37.45623,1463.0,4.826352128883775,3.792082853855006,19.196777905638665,-0.029594882304758263,0.04943278699817545,0.2914579643434899,0.04852179041781614,0.3210528466482482,0.013171351996727407,2
Walembelle_Poly_Clinic,23.0,43.0,1.4,0.45,10.50105,-1.96855,228.0,2.2281333333333335,5.6466666666666665,28.235333333333333,-0.0657599235514232,0.062135824679638074,0.1114973781228433,0.05346461260077933,0.1772573016742665,0.06849181026279849,0
Wankama,5.0,90.0,0.35,0.42,13.6456,2.632,230.0,0.7154596100278552,6.842869080779945,28.835515320334263,0.021570278250052966,0.02356341565413781,0.05638377698467964,0.021078827251239222,0.03481349873462658,0.008615292713414446,0
"Wenchi_Methodist_SHS,_Wenchi",24.0,56.0,0.74,0.41,7.75559,-2.10156,322.0,3.375,4.192687165775401,26.464438502673797,0.010435564836907458,0.0556045195581888,0.18155203247306823,0.06456895006433029,0.17111646763616073,0.06949692927093182,2
